Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc,semestre,city,compr_medio,loc_medio
NORD-OVEST,LOMBARDIA,MI,3015009,C1AP, ,A389,ARESE,D,D2,MI00002316,20,Abitazioni civili,OTTIMO,P,2450,3100,L,7.8,11.2,L,2023_1,Milano,2775.0,9.5
NORD-OVEST,LOMBARDIA,MI,3015009,C1AP, ,A389,ARESE,D,D2,MI00002316,20,Abitazioni civili,NORMALE, ,1700,2400,L,6.2,7.7,L,2023_1,Milano,2050.0,6.95
NORD-OVEST,LOMBARDIA,MI,3015010,C1AQ, ,A413,ARLUNO,B,B1,MI00004453,20,Abitazioni civili,OTTIMO,P,1700,2150,L,6.1,8.0,L,2023_1,Milano,1925.0,7.05
NORD-OVEST,LOMBARDIA,MI,3015010,C1AQ, ,A413,ARLUNO,B,B1,MI00004453,20,Abitazioni civili,NORMALE, ,1300,1700,L,4.5,6.1,L,2023_1,Milano,1500.0,5.3
NORD-OVEST,LOMBARDIA,MI,3015011,C1AT, ,A473,ASSAGO,B,B1,MI00004604,20,Abitazioni civili,OTTIMO,P,2100,3300,L,8.2,12.0,L,2023_1,Milano,2700.0,10.1
NORD-OVEST,LOMBARDIA,MI,3015011,C1AT, ,A473,ASSAGO,B,B1,MI00004604,20,Abitazioni civili,NORMALE, ,1850,2100,L,7.0,8.2,L,2023_1,Milano,1975.0,7.6
NORD-OVEST,LOMBARDIA,MI,3015011,C1AT, ,A473,ASSAGO,D,D1,MI00004605,20,Abitazioni civili,OTTIMO,P,2250,3400,L,7.2,10.6,L,2023_1,Milano,2825.0,8.9
NORD-OVEST,LOMBARDIA,MI,3015011,C1AT, ,A473,ASSAGO,D,D1,MI00004605,20,Abitazioni civili,NORMALE, ,1850,2250,L,6.2,7.5,L,2023_1,Milano,2050.0,6.85
NORD-OVEST,LOMBARDIA,MI,3015250,C1AW, ,A618,BARANZATE,B,B1,MI00003444,20,Abitazioni civili,OTTIMO, ,1500,2100,L,6.1,8.8,L,2023_1,Milano,1800.0,7.45
NORD-OVEST,LOMBARDIA,MI,3015250,C1AW, ,A618,BARANZATE,B,B1,MI00003444,20,Abitazioni civili,NORMALE,P,1300,1500,L,5.1,6.0,L,2023_1,Milano,1400.0,5.55
NORD-OVEST,LOMBARDIA,MI,3015250,C1AW, ,A618,BARANZATE,D,D1,MI00004325,20,Abitazioni civili,OTTIMO, ,1550,2150,L,6.0,9.5,L,2023_1,Milano,1850.0,7.75
NORD-OVEST,LOMBARDIA,MI,3015250,C1AW, ,A618,BARANZATE,D,D1,MI00004325,20,Abitazioni civili,NORMALE,P,1200,1500,L,4.8,5.9,L,2023_1,Milano,1350.0,5.35
NORD-OVEST,LOMBARDIA,MI,3015012,C1AZ, ,A652,BAREGGIO,B,B1,MI00004454,20,Abitazioni civili,NORMALE, ,1300,1650,L,4.5,5.9,L,2023_1,Milano,1475.0,5.2
NORD-OVEST,LOMBARDIA,MI,3015012,C1AZ, ,A652,BAREGGIO,B,B1,MI00004454,20,Abitazioni civili,OTTIMO,P,1650,2150,L,5.9,8.2,L,2023_1,Milano,1900.0,7.05
NORD-OVEST,LOMBARDIA,MI,3015012,C1AZ, ,A652,BAREGGIO,D,D1,MI00003984,20,Abitazioni civili,OTTIMO,P,1600,2200,L,6.0,8.7,L,2023_1,Milano,1900.0,7.35
NORD-OVEST,LOMBARDIA,MI,3015012,C1AZ, ,A652,BAREGGIO,D,D1,MI00003984,20,Abitazioni civili,NORMALE, ,1350,1600,L,5.0,6.0,L,2023_1,Milano,1475.0,5.5
NORD-OVEST,LOMBARDIA,MI,3015013,C1BB, ,A668,BARLASSINA,B,B1,MI00004429,20,Abitazioni civili,NORMALE, ,1100,1500,L,4.0,5.1,L,2023_1,Milano,1300.0,4.55
NORD-OVEST,LOMBARDIA,MI,3015013,C1BB, ,A668,BARLASSINA,B,B1,MI00004429,20,Abitazioni civili,OTTIMO,P,1550,2150,L,5.2,8.0,L,2023_1,Milano,1850.0,6.6
